species,fsu,load,qx,qy,qz,qw,xdeg,ydeg,zdeg
bighorn,C2-C3,axial,0.011158,-0.00171788,0.0008422989999999999,0.999936,1.2784784789747046,-0.19791928368450193,0.09431826493366359
bighorn,C2-C3,compress,0.0,0.0,0.0,1.0,0.0,0.0,0.0
bighorn,C2-C3,extend,-0.00559805,3.74174e-05,-0.0193949,0.9997959999999999,-0.6414552723353276,-0.008154780624033808,-2.222620879966845
bighorn,C2-C3,flex,-0.000202765,-2.65398e-05,0.00818091,0.999967,-0.023259248894023157,-0.0028510492004593453,0.9374738319646505
bighorn,C2-C3,lateral,-0.00113779,0.0101529,-0.00176758,0.9999459999999999,-0.13245803744214318,1.1632238397557844,-0.20390510921638635
bighorn,C4-C5,axial,0.0191011,-0.0004934669999999999,-0.00129315,0.999817,2.189029113335945,-0.053706290734637806,-0.14923718442166614
bighorn,C4-C5,compress,0.0,0.0,0.0,1.0,0.0,0.0,0.0
bighorn,C4-C5,extend,-0.000907095,0.00114425,-0.0261256,0.999658,-0.10733575261786599,0.12836091635830696,-2.9942361382357254
bighorn,C4-C5,flex,-0.000257468,-0.000204799,0.00971902,0.9999530000000001,-0.02973034793636458,-0.023180374457315914,1.1137409452852278
bighorn,C4-C5,lateral,1.19417e-06,0.0107612,-0.0033061,0.9999370000000001,-0.003940969691995878,1.2331597429697723,-0.37891605363930575
bighorn,C6-C7,axial,0.0332284,-0.0028046,-0.00482005,0.999432,3.809942510107552,-0.30284921152524436,-0.5627195372483957
bighorn,C6-C7,compress,0.0,0.0,0.0,1.0,0.0,0.0,0.0
bighorn,C6-C7,extend,-0.000462468,0.00104538,-0.0346041,0.9994,-0.05710859809496029,0.11788619515614314,-3.966192680220469
bighorn,C6-C7,flex,-0.000434806,-0.000236868,0.011025,0.9999389999999999,-0.05012133230690282,-0.026592102263110894,1.2634094462863303
bighorn,C6-C7,lateral,-0.00248336,0.0211903,-0.00756029,0.9997440000000001,-0.30313037740725834,2.426180414676456,-0.872969717978018
impala,C2-C3,axial,0.0686089,-0.0170382,-0.011768299999999999,0.9974290000000001,7.893833622873359,-1.8552148883187376,-1.4799744533978147
impala,C2-C3,compress,0.0,0.0,0.0,1.0,0.0,0.0,0.0
impala,C2-C3,extend,0.00241292,0.00557331,-0.0661067,0.9977940000000001,0.23368695684697355,0.6555383332988745,-7.579601875161699
impala,C2-C3,flex,-0.00118884,-0.0007346410000000001,0.0216835,0.999764,-0.13802452174217142,-0.08120983699081795,2.4850408382028806
impala,C2-C3,lateral,-0.013055200000000003,0.0625682,-0.0152241,0.9978389999999999,-1.6147056711712857,7.150064243584853,-1.849084771758135
impala,C4-C5,axial,0.0589976,-0.0129815,-0.00634235,0.9981540000000001,6.775497269493457,-1.4420970083860756,-0.8134854890454709
impala,C4-C5,compress,0.0,0.0,0.0,1.0,0.0,0.0,0.0
impala,C4-C5,extend,0.00127889,-0.0006294369999999999,-0.0730938,0.997324,0.1514302313949771,-0.06122327385025931,-8.38349871235358
impala,C4-C5,flex,-0.00327105,0.00113723,0.0196208,0.999801,-0.3722072651121631,0.13764585153763226,2.2480898561100204
impala,C4-C5,lateral,-0.00137449,0.0393336,-0.0116923,0.999157,-0.21072465575643834,4.506299706736167,-1.3491991228603613
impala,C6-C7,axial,0.069273,-0.00954382,-0.015341299999999999,0.997434,7.961239987050953,-0.9691005662712675,-1.8298054352492685
impala,C6-C7,compress,0.0,0.0,0.0,1.0,0.0,0.0,0.0
impala,C6-C7,extend,0.00178029,0.00119865,-0.0762931,0.9970829999999999,0.19293296460105394,0.15251899103251715,-8.750813251235549
impala,C6-C7,flex,-0.0012554999999999999,-0.000107363,0.017505,0.9998459999999999,-0.1440630572057234,-0.009782559456352265,2.006041553775206
impala,C6-C7,lateral,-0.00740794,0.0365505,-0.0186405,0.99913,-0.9287254793831836,4.17260250552711,-2.171489148126177
